x,1:53:35,1:55:45,1:57:53,2:00:27,2:03:09,2:05:27,2:08:31,2:11:35,2:13:55,2:16:25,2:19:14,2:21:55,2:25:14,2:28:29
,0,130,258,412,574,712,896,1080,1220,1370,1539,1700,1899,2094
6.5,46.7,36.5,32,26.9,38.5,27.1,22.7,29.4,28.4,32.2,30.3,25.7,30.4,28
5.5,61.2,39.7,34.2,31.3,25.9,27.8,30.8,28.3,31.9,34.1,30.8,26.7,40.7,25.2
4.5,70.4,58.2,45.7,38.6,40.3,30.9,34.6,32.7,33.9,30,35.6,33.4,34.9,28.9
3.5,93.4,79,74.3,59.3,56.5,52.6,43.5,43.2,44.1,42.9,44.9,45.5,47,46.7
2.5,110.6,103.7,94.5,90,71.6,72,66.1,65.6,62.6,66.6,67.6,61,61.7,63
1.5,114.6,110.2,104.9,95.2,89.2,82.2,78.8,77.2,75.9,74.1,73.6,72.8,72.1,74.2
0.5,113.6,108.2,100.9,95.6,88.7,81.7,78.6,75.9,74.8,73.8,74,71.9,69.4,69.9
-0.5,110.3,99.3,93.9,82,77.6,74.2,65.4,64.2,68.9,63.8,60.7,64.9,64.7,62.2
-1.5,107.5,98.4,87.5,76.4,73.6,69,62.1,61.2,60.2,59.8,61.9,61.3,59.7,56.7
-2.5,102.1,90.7,72.2,67.4,63.2,54.7,54.7,54.1,51.7,53.6,50,49.7,47.9,47.1
-3.5,85.9,73.7,65.7,53.2,55.8,47.7,43.8,43.8,45.2,43.9,40.9,40.8,39.2,37
-4.5,69.4,49.7,39.1,31.3,44,36,31,27.6,33.9,30.3,26.6,29.6,34.7,28
-5.5,45.7,32.3,51.8,25.6,43.5,30.5,34.4,32.1,28.3,36.8,27.1,31.3,25.5,26.4
-6.5,29.9,32.1,45.2,23.2,42.5,35.6,34.5,37,36.1,47.1,27.1,35.7,38.2,31.6
,,,,,,,,,,,,,,
